Term,Definition
polyface and polygon mesh,"Legacy mesh types available before AutoCAD 2010; the newer, more flexible mesh type is recommended."
polygon window selection,A polygonal area specified to select multiple objects.
polyline,"An object composed of one or more connected line segments or circular arcs treated as a single object, also called pline."
polysolid,A swept solid drawn the same way as a polyline with a rectangular profile of specified height and width. (POLYSOLID)
position marker,An annotation placed in model space to mark and label a geographic location.
pre-playback drawing environment,The drawing state prior to the playback of an action macro.
pre-selection set,A selection set of objects defined prior to the execution of an action macro.
primary instance,"In Smart Blocks: Detect and Convert, the block definition used as the original when converting to a new or existing block."
primary table fragment,The fragment of a broken table that contains the beginning set of rows up to the first table break.
primitive,"Basic 3D forms such as a box, cone, cylinder, pyramid, wedge, sphere, and torus."
procedural materials,"Materials that generate a 3D pattern in two or more colors and apply it to an object, such as marble and wood."
procedural surface,A 3D surface object with history and analytic information but no control vertices; the only type of surface that can be associative.
profile curve,"An object that is swept, extruded, or revolved and defines the shape of the resulting 3D solid or surface. (SWEEP, EXTRUDE, REVOLVE)"
project-aware,Support files are connected so all drawings and collaborators in an Autodesk Docs project can share one set of support files.
projected view,"A drawing view projected from an existing drawing view, associated with the model documentation feature."
prompt,A message on the command line or in a tooltip that asks for information or requests an action.
proxy object,A substitute for a custom object when the ObjectARX application that created it is not available.
push pin,A push pin-shaped button used on the ribbon and application menu to keep panels expanded or items in the recently viewed list.
PWT,A template file format used to publish drawings to the Web.
Quick View,A tool to preview and switch between open drawings and layouts in a drawing.
Quick View image,"A thumbnail image of a drawing, layout, or model space displayed using Quick View."
ray-traced shadows,Shadows generated by the renderer by tracing the path of rays from the light source; they have sharp edges.
ray tracing,A rendering technique that traces the path of rays to generate physically accurate reflections and refractions.
recorded value,The input captured during the recording of an action macro for a sub-prompt of a command.
rectangular break,To break a table into multiple parts that are evenly spaced and set at a user-specified height using table breaking grips.
refine,To quadruple the number of faces in a mesh object while resetting the baseline level of smoothness. (MESHREFINE)
reflectance scale,Increases or decreases the amount of energy the material reflects.
reflection color,"The color of a highlight on shiny material, also called specular color."
reflection line,"In a dynamic block reference, the axis about which a flip action's selection set flips when the associated parameter is edited."
reflection mapping,Creates the effect of a scene reflected on the surface of a shiny object.
refraction,How light distorts through an object.
regenerate,To update the objects in the drawing area by recomputing the screen coordinates from the database. (REGEN)
region,"A 2D enclosed area with physical properties such as centroids or centers of mass, created from objects that form closed loops. (REGION)"
relative coordinates,Coordinates specified in relation to previous coordinates.
relax constraints,"Ability to temporarily ignore constraints while editing geometry; after editing, constraints are removed or retained based on validity."
request user input,An item assigned to an action node that pauses action macro playback so a user can provide input before playback resumes.
reverse lookup (dynamic blocks),"Adds a lookup grip to a dynamic block reference, displaying a drop-down list of lookup values when clicked. (BLOOKUPTABLE)"
rewind,"Restores the previous view or movement path created by ViewCube, SteeringWheels, or other navigation tool."
RGB,"For red, green, and blue. A system of defining colors by specifying percentages of red, green, and blue."
ribbon,"For Windows-based products, a palette displaying buttons and controls for 2D drawing, annotation, 3D modeling, viewing, and rendering. (RIBBON)"
ribbon panel,"For Mac products, a set of labeled controls related to a task grouped together in a ribbon."
ribbon tab,"For Windows-based products, the highest level of ribbon grouping based on an action, containing groups of ribbon panels."
roll arrows,Curved arrows located above the ViewCube tool used to rotate the current view 90 degrees clockwise or counterclockwise.
roughness,"Simulates how light hitting a face is reflected back to the user; high roughness simulates rough objects, low roughness simulates shiny objects."
row (table),A horizontally adjacent table cell selection spanning the width of the table.
rubber-band line,A line that stretches dynamically within the drawing area with the movement of the cursor.
running object snap,Setting an Object Snap mode so it continues to be applied for subsequent selections. (OSNAP)
sampling,An anti-aliasing technique that provides a best-guess color for each rendered pixel by sampling scene color within the pixel then applying a filter.
save back,To update the objects in the original reference with changes made to objects in a working set during in-place reference editing.
scale representation,The display of an annotative object based on the annotation scales that the object supports.
script file,"A set of commands executed sequentially with a single SCRIPT command, created outside the program and saved with the .scr file extension."
search tag,A user-defined keyword used to search for commands in the menu browser for Windows-based products.
secondary table fragment,Any fragment of a broken table that does not contain the beginning set of rows.
section line,An annotated line that represents the imaginary cutting plane used to generate a section view.
section view,A projected view that shows the hidden interior details as though the drawing view was sliced through.
selection node,A specific type of action tree node used to handle selection activities.
selection sensitivity,The ability to define the pivot point for reorienting a model based on the current selection.
selection set,One or more selected objects that a command can act upon at the same time.
shadow maps,A bitmap generated during a pre-rendering pass of the scene; shadow maps have softer edges than ray-traced shadows.
ShapeManager,The Autodesk technology that provides 3D solid modeling to AutoCAD and other products.
Shared View,An online visual representation of a model or design uploaded from an Autodesk product that can be viewed in the Autodesk Viewer.
sheet,A layout selected from a drawing file and assigned to a sheet set.
sheet list table,"A table listing all sheets in a sheet set, which can be generated automatically with the Sheet Set Manager."
sheet selection,"A named selection of sheets in a sheet set that can be recalled for archiving, transmitting, and publishing operations."
sheet set,An organized and named collection of sheets from several drawing files. (SHEETSET)
shortcut keys,"Keys and key combinations that start commands, such as CTRL+S to save a file on Windows or Command-S on Mac."
shortcut menu,The menu displayed at your cursor location when you right-click your pointing device; also called context menu or right-click menu.
shot,"A saved view that can later be restored by name or with ShowMotion, containing a static thumbnail or camera motion playable as animation."
ShowMotion,"A user interface element for accessing named views (shots) stored in the current drawing, organized by sequences."
sky,"The background color of the drawing area when perspective projection is turned on, displaying with a color gradient between sky horizon and sky zenith."
slide-out panel,"For Windows-based products, an area on the ribbon associated with a ribbon panel that contains additional tools and controls."
smoothness,A property of mesh objects that controls the roundness of the object; higher smoothness levels result in more faces.
smooth shading,Smooths the edges between polygon faces.
snap angle,The angle that the snap grid is rotated.
snap grid,"An invisible grid that locks the cursor into a specified spacing, which can be different in the X and Y directions. (SNAP)"
snap resolution,The spacing between points of the snap grid.
solid history,A property of a solid that allows you to see and modify the original forms of the solid.
solid object,"An object that represents the 3D volume of an object, for example a cylinder."
solid primitive,"A basic 3D shape such as a box, wedge, cone, cylinder, sphere, torus, and pyramid."
spatial index,"A list that organizes objects based on their location in space, used to locate portions of a drawing when partially opening it."
spectrum,"In the reality capture feature, an option to map colors to point cloud intensity to help distinguish intensity details in complex point clouds."
specular reflection,The light in a narrow cone where the angle of the incoming beam equals the angle of the reflected beam.
spline-fit polyline,A curve that uses the vertices of a selected polyline as control points of a curve approximating a B-spline.
split face,A mesh face that has been subdivided along a specified vector.
Start In folder,"The drive and folder path from where the product was started, determined by the Start In attribute of the desktop shortcut. (STARTINFOLDER system variable)"
STB file,For plot style table file. Contains plot styles and their characteristics.
SteeringWheels,A tool set that provides access to 2D and 3D navigation tools.
stretch frame,"In a dynamic block definition with a stretch or polar stretch action, determines how objects within or crossed by the frame are edited."
subdivision,"A division, or tessellation, in a mesh object; as a mesh object is smoothed, the number of subdivisions increases."
subobject,A part of a composite object.
sub-prompt,A command prompt that instructs for a form of input to complete a command or alter a property.
subset,A named collection of sheets in a sheet set often organized by discipline or workflow stage.
surface,"A 3D object that is an infinitely thin shell; there are 3 types: analytic, generic, and NURBS."
surface associativity,See associative surfaces.
surface indication leader,"An additional leader (arrowhead, leader and reference line) added to surface texture symbols, used to point to surfaces or faces rather than edges."
surface normal,Positive direction perpendicular to the surface of an object.
swept solid or surface,A solid or surface created in the shape of a specified profile swept along a specified path. (SWEEP)
symbol,"A representation of an item commonly used in drawings, inserted as blocks."
symbol library,A collection of block definitions stored in a single drawing file.
symbol table,See definition table and block definition table.
system variable,"Similar to a command, it controls operating settings of the product including modes, sizes, or limits."
table,"A rectangular array of cells containing annotation, primarily text but also blocks. (TABLE)"
table break,The point at the bottom of a table row where the table will be split into a supplementary table fragment.
table style,A style that contains a specific table format and structure; contains at least 3 cell styles.
tab list,The drop-down list that appears when file tabs have outgrown the available space in the drawing window.
temporary files,Data files created during a program session that are deleted by the time you end the session.
temporary prompt history,The list of commands and prompts displayed transparently above the Command prompt in an undocked Command Line window.
tessellation lines,Display lines that help you visualize a curved mesh surface.
text style,"A named, saved collection of settings that determines the appearance of text characters."
texture map,The projection of an image such as a fabric pattern onto an object such as a chair.
thaw,A setting that displays previously frozen layers. (LAYER)
thickness,"A legacy property of 2D objects extruded to provide a 3D appearance. (PROPERTIES, CHPROP, ELEV, THICKNESS)"
tiled viewports,See model viewports.
TILEMODE,A system variable that controls whether viewports are created as movable layout viewports or as nonoverlapping model viewports.
toolbar,Part of the interface containing icons that represent commands in AutoCAD-based products under Windows.
tooltip,A small box of text that identifies or explains an object or interface element when the cursor hovers near or over it.
tracking,A method for determining a point relative to other points on the drawing.
tracking menu,A cluster of buttons associated with SteeringWheels that follow the cursor as you move it.
translucency,How light diffuses through an object.
transmittance scale,Increases or decreases the amount of energy a transparent material transmits out to the scene.
transparency,A value that defines how much light passes through an object.
transparent command,A command that is started while another one is still in progress; precede with an apostrophe.
trusted locations,Specified folders permitted to run executable code. (TRUSTEDPATHS)
two-sided material,The positive and negative normal of the material will be considered during the rendering process.
UCS,See user coordinate system (UCS).
UCS definition,"A named and saved UCS location and orientation; each UCS definition can have its own origin and X, Y, and Z axes."
UCS icon,An icon that indicates the orientation of the UCS axes. (UCSICON)
underconstrained geometry,"In parametric drawing, objects with unsolved degrees of freedom."
underground,The XY plane of the user coordinate system when perspective projection is turned on and viewed from below ground.
underlay,An Autodesk DWF or Microstation DGN file attached to a DWG drawing file to provide visual information and object snap locations.
up direction,"A vector defining what direction is Up; by default the positive Z-axis (0,0,+1), always perpendicular to the north direction."
user coordinate system (UCS),A movable coordinate system that establishes the XY plane and Z-axis direction for drawing and modeling.
user parameter,"A named, user-defined variable (real number or expression) that can be used in expressions for dimensional constraints or other user parameters."
UVW,"The coordinate space for a material; U parallels X (horizontal), V parallels Y (vertical), and W parallels Z (perpendicular to the UV plane)."
value node,A specific type of action node used to handle requests for user input and hold recorded values from action macro recording.
value set,"In a dynamic block definition, a range or list of values specified for a linear, polar, XY, or rotation parameter."
vector,A mathematical expression with precise direction and magnitude (length) but without a specific location.
vertex,A location where edges or polyline segments meet.
view (AutoCAD),"A graphical representation of a model from a specific location (viewpoint) in space. (3DORBIT, VPOINT, DVIEW, VIEW)"
view (AutoCAD LT),"A graphical representation of a model from a specific location (viewpoint) in space. (VPOINT, VIEW)"
view category,A named collection of views in a sheet set often organized by function.
ViewCube,A user interface element that displays the current orientation of a model and allows interactive rotation or restoration of preset views.
viewpoint (AutoCAD),"The location in 3D model space from which you are viewing a model. (3DORBIT, DVIEW, VPOINT)"
viewpoint (AutoCAD LT),The location in 3D model space from which you are viewing a model. (VPOINT)
viewport,A bounded area that displays some portion of the model space of a drawing; type depends on the TILEMODE system variable setting.
viewport configuration,A named collection of model viewports that can be saved and restored. (VPORTS)
view sketching,A state in a model space view for editing and constraining a section line or detail boundary.
virtual screen display,The area in which the program can pan and zoom without regenerating the drawing.
visibility mode,Displays or does not display geometry (in a dimmed state) that is invisible for a visibility state. (BVMODE)
visibility state,"In a dynamic block, a custom property that allows only specified geometry to display in the block reference. (BVSTATE)"
visual style,A collection of settings that control the display of edges and shading in a viewport.
volumetric shadows,A photorealistically rendered volume of space cast by the shadow of an object.
watertight,A closed 3D solid or mesh that has no gaps.
WCS,See world coordinate system (WCS).
wheel,A reference to one of the individual user interface elements that make up SteeringWheels for products on Windows.
wheel surface,The area of SteeringWheels used to organize wedges and other buttons.
wheel wedge,A section on the surface of a SteeringWheels designated for a specific navigation or orientation tool.
window selection,A rectangular area specified in the drawing area to select multiple objects at the same time.
wipeout object,"A polygonal area that masks underlying objects with the current background color, bounded by the wipeout frame."
wireframe model,The representation of a 3D object using lines and curves to represent its edges.
workflow,A focused component for enabling repeatable modeling tasks from one Autodesk product to another within an Autodesk suite.
Workflow Manager,"A user interface that allows you to access, manage, and customize cross-product workflows in an Autodesk suite."
working drawing,A drawing used for manufacturing or building purposes.
working folder,The drive and folder path of the operating system's working folder or current directory for the process.
working set,A group of objects selected for in-place reference editing.
work plane,Another name for the XY plane of the user coordinate system.
workspace,"For Windows-based products, a set of menus, toolbars, and dockable windows grouped and organized for a custom, task-oriented drawing environment."
world coordinates,Coordinates expressed in relation to the world coordinate system (WCS).
world coordinate system (WCS),"The fixed coordinate system that defines the location of all objects and other coordinate systems in a drawing. In new drawings, the UCS is initially coincident with the WCS."
wrap around,Behavior where the cursor wraps around the window and appears on the opposite side to allow continuation of a drag operation instead of stopping at the edge of the drawing area.
X Y Z point filters,See coordinate filters.
xref,A drawing file referenced from another drawing file; this type of external reference is specific to DWG files. (XREF)
zoom,To reduce or increase the apparent magnification of the drawing area. (ZOOM)
