Term,Definition
camera,"Defines the current eye-level position in a 3D model with a location XYZ coordinate, target XYZ coordinate, and field of view or lens length."
camera target,Defines the point you are viewing by specifying the coordinate at the center of the view.
candela,The SI unit of luminous intensity (perceived power emitted by a light source in a particular direction) (Symbol: cd).
cell,The smallest available table selection.
cell boundary,The four gridlines surrounding a table cell.
cell style,A style that contains specific formatting for table cells.
chain actions,"In a dynamic block definition, a property of parameters where a change in one action triggers any actions associated with that parameter."
change set,A cluster of differences within the margin distance of the revision cloud automatically generated by the DWG Compare feature.
circular external reference,An externally referenced drawing (xref) that references itself directly or indirectly; the xref creating the circular condition is ignored.
clamp curve,"A smooth, closed curve such as a circle that has a vertex tangent to the object, which may create kinks if reshaped."
clamp surface,"A smooth, closed surface such as a cylinder that has a vertex tangent to the object, which may create kinks if reshaped."
clipping planes,The boundaries that define or clip the field of view.
cloud computing,Refers to executing software and storing data on shared servers over the internet.
CMYK,"For cyan, magenta, yellow, and key color. A system of defining colors by specifying percentages of cyan, magenta, yellow, and the key color (typically black)."
coincident grip,A grip shared by multiple objects.
Color bleed scale,Increases or decreases the saturation of the reflected color from the material.
color map,"A table defining the intensity of red, green, and blue (RGB) for each displayed color."
column (table),A vertically adjacent table cell selection spanning the height of the table.
command line,"A text area reserved for keyboard input, prompts, and messages."
comparison drawing,The drawing file specified to compare with the current drawing using the DWG Compare feature.
compass,"A visual aid that indicates the directions North, South, East, and West in the current model."
composite solid,"A solid created from two or more individual solids. (UNION, SUBTRACT, INTERSECT)"
constraint bar,Displays the geometric constraints associated with objects or with points on objects.
constraint point,"A point on an object that can be geometrically or dimensionally constrained, such as an endpoint or insertion point."
constraints,"1. A form of parametric design. 2. Rules that govern the position, slope, tangency, dimensions, and relationships among objects in a geometry."
construction plane,See work plane.
context menu,See shortcut menu.
contextual ribbon tab,"In Windows-based products, a ribbon tab displayed only when a certain type of object is selected or when a certain command is started."
continued dimension,"A type of linear dimension that uses the second extension line origin of a selected dimension as its first extension line origin, also called chain dimension. (DIMCONTINUE)"
continuity,"A measure of how smoothly two curves or surfaces merge where they are joined, defined as G0 (position), G1 (tangency), and G2 (curvature)."
control frame,"A series of point locations used as a mechanism to control the shape of a B-spline, connected by line segments for visual clarity."
control vertices (CVs),The most basic way to shape a NURBS surface or spline; these points act as grips that can be dragged to reshape the object.
Coons patch,"In 3D surface meshes, the bicubic surface interpolated between four edges."
coordinate filters,"Functions that extract individual X, Y, and Z coordinate values from different points to create a new composite point, also called X,Y,Z point filters."
coordinate system or coordinate reference system,"In the geolocation feature, a spatial reference system consisting of a map projection and datum that always specifies the units of measurement."
coordination model,A model used for virtual coordination of various trades through pre-construction and construction phases; specifically refers to an NWD or NWC file.
crease,A sharpened ridge that defines one or more edges of a mesh face subobject. (MESHCREASE)
crosshairs,A type of cursor consisting of two lines that intersect.
crossing selection,A rectangular area drawn to select objects fully or partly within its borders.
cross sections,Curves or lines that define the profile (shape) of a lofted solid or surface; can be open or closed. (LOFT)
CTB file,For Color-Dependent Plot Style Table file; contains plot styles and their characteristics defined by color assignments.
ctrl-cycle,A method for cycling between different behaviors while editing geometry by pressing and releasing the Ctrl key.
current directory,See working folder.
current drawing,A drawing file that is open in the program and receives any command or action that you enter.
current location indicator,"In the geolocation feature, a transient blue pin placed in model space that indicates the current location of a device."
cursor,See pointer and crosshairs.
cursor menu,See shortcut menu.
curve-fit,A smooth curve consisting of arcs joining each pair of vertices; the curve passes through all vertices of the polyline.
custom grips,"In a dynamic block reference, used to manipulate the geometry and custom properties."
customization file,An XML-based file such as acad.cuix or acadlt.cuix that stores customization data.
custom object,A type of object created by an ObjectARX application with more specialized capabilities than standard objects.
CV hull,"A NURBS surface modified through its control vertices (CV) hull, consisting of control vertices and lines connecting them in the U and V directions."
data link,A connection between a table and an external source of data.
datum,"In the geolocation feature, a reference point from which measurements are made for a coordinate system."
decimal degrees,"A notation for specifying latitude and longitude, e.g., 35.1234�, 100.5678�, where latitude always precedes longitude."
default,"A predefined, assumed value for a program input, setting, or parameter, denoted by angle brackets (<>)."
default drawing,See initial environment.
default lighting,"The lighting in a shaded viewport when the sun and user lights are turned off, using two distant light sources that follow the viewpoint."
default value,"The value that is accepted when you press Enter at a sub-prompt, displayed in angle brackets <>."
definition (symbol) table,"The nongraphical data area in a drawing file that stores definitions of blocks, dimension styles, layers, and other named objects."
definition point,A node located at the end of an extension line corresponding to the location on the object being dimensioned; stored on the Defpoints layer.
degree,"A mathematical property of a curve or surface indicating the type of polynomial equation used (e.g., degree 1 linear, degree 2 quadratic, degree 3 cubic)."
dependency highlighting,"In a dynamic block definition, how associated objects are displayed when you select a parameter, grip, or action."
dependent named objects (in xrefs),Named objects brought into a drawing by an xref.
dependent symbols,See dependent named objects (in xrefs).
Design Coordinate System,"In the geolocation feature, an AutoCAD specific coordinate system providing flexibility in choosing a different unit of measure, insertion point, and orientation."
detail view,"In the model documentation feature, a projected view that displays a specified portion of another drawing view, typically at an enlarged scale."
detail view label,"In the model documentation feature, the customizable text that identifies a detail view, often indicating the scale."
DGN underlay,See underlay.
DIESEL,For Direct Interpretively Evaluated String Expression Language. A macro language for altering the status line and customizing menu items.
diffuse color,The color that an object reflects when illuminated by direct daylight or artificial light that makes the object easy to see.
digital signature,"An encrypted digital code added to a file for assuring the authenticity of digital messages, documents, and programs."
dimensional constraint,"A parametric dimension that controls the size, angle, or position of geometry; resizes the constrained object when its value is changed."
dimension line arc,"An arc, usually with arrowheads at each end, that spans the angle formed by the extension lines of the angle being measured."
dimension style,A named group of dimension settings that determines the appearance of the dimension and simplifies the setting of dimension system variables. (DIMSTYLE)
dimension text,The measurement value of dimensioned objects.
dimension variables,"A set of numeric values, text strings, and settings that control dimensioning features. (DIMSTYLE)"
direct distance entry,"A method to specify a second point by moving the cursor to indicate direction, then entering a distance."
dithering,Combining color dots to give the impression of displaying more colors than are actually available.
dockable window,"In AutoCAD-based products under Windows, a user interface element that can be docked, anchored, or floating in the drawing area."
drawing area,The area in which your drawings are displayed and modified.
drawing extents,The smallest rectangular area that contains all objects in a drawing. (ZOOM)
drawing folder,The drive and folder path of the current drawing. (DWGPREFIX system variable)
drawing limits,See grid limits.
drawing set,A collection of drawings assembled using the Publish dialog box.
drawing state,A collection of known settings that define the behavioral properties of the drawing environment at a known period of time.
drawing template (DWT) file,A drawing file with preestablished settings for new drawings. Any drawing file can be saved as a DWT file.
drawing view,A rectangular object that contains a 2D projection of a 3D model.
driving dimension,A parametric dimension that determines the size of geometry and resizes the object when its value changes.
driving property,A lookup property considered invertible when a manual change in the lookup value causes other property values to change.
DSD,For drawing set descriptions. A file format for saving a description of a drawing set assembled using the Publish dialog box.
DST,For sheet set data. The XML file format used to store the associations and information that define a sheet set.
DWF,"An open, published, and secure file format developed by Autodesk that enables combining and publishing design data to share with others."
DWF underlay,See underlay.
DWFx,"A version of DWF based on the XML Paper Specification (XPS) from Microsoft, enabling DWF files to be viewed using the Microsoft XPS Viewer."
DWG,The standard file format for saving AutoCAD-based vector graphics.
DXF,For drawing interchange format. An ASCII or binary file format of a drawing file for exporting to or importing from other applications.
dynamic constraint,A type of dimensional constraint that adjusts its size automatically and can be displayed or hidden.
dynamic dimension,"Temporary dimensions that appear on objects, including dynamic block references, when they are edited with grips."
edge,The boundary of a face.
edge modifiers,Effects such as overhang and jitter that control how edges are displayed in a shaded model.
electronic drawing set,"The digital equivalent of a set of plotted drawings, created by publishing drawings to a multi-sheet DWF file."
embed (OLE),"An embedded object is a copy of information from a source document placed in the destination document, not linked to the source."
empty selection set,A selection set that contains no objects.
enterprise customization file,"A CUIx file typically controlled by a CAD manager, stored in a shared network location, and read-only to users."
environment map,"A bitmap used to simulate reflections in materials that have reflective properties, wrapped around the scene."
environment variable,A setting stored in the operating system that controls the operation of a program.
expanded panel,"In AutoCAD-based products on Windows, an area on the ribbon associated with a ribbon panel containing additional tools and controls."
explode,"To disassemble a complex object such as a block, dimension, solid, or polyline into simpler objects. (EXPLODE)"
exploded dimension,A set of objects that have the appearance of a dimension but are not associated with the dimensioned object or each other. (EXPLODE)
extended command history,An expanded list of commands and prompts that extends up or down from the command line.
extended tooltips,"In AutoCAD-based products on Windows, displays additional information in a tooltip when the cursor hovers over a tool for a specific length of time."
extents,See drawing extents.
external reference,"A file referenced from a drawing file, linking to the referenced file; supported types include DWG, raster images, DWF, DWFx, DGN, PDF, and PCG. (EXTERNALREFERENCES)"
extrusion,A 3D solid created by sweeping an object that encloses an area along a linear path. (EXTRUDE)
face,A triangular or quadrilateral portion of a solid or surface object.
face color mode,A setting in the visual style that controls how color is displayed on a face.
face style,A setting in the visual style that defines the shading on a face.
facet,A triangular or quadrilateral portion of a 3D mesh object; smoothing a mesh object increases the number of facets.
feature control frame,"The tolerance that applies to specific features or patterns of features, always containing a geometric characteristic symbol and a tolerance value."
fence,A multi-segmented selection line that selects objects as it passes through them. (SELECT)
field,A specialized text object set up to display data that may change during the life cycle of the drawing. (FIELD)
file tab,A tab at the top of the drawing window that corresponds to an open drawing.
fill,A solid color covering an area bounded by lines or curves. (FILL)
filters,See coordinate filters.
final gathering,An optional additional step for calculating global illumination that increases the number of rays used and reduces rendering artifacts.
fit points,Locations that a B-spline must pass through exactly or within a fit tolerance.
fit tolerance,The setting for the maximum distance that a B-spline can pass for each of the fit points that define it.
floating panel,"In AutoCAD-based products on Windows, a ribbon panel that is not attached to the rest of the ribbon or file window."
floating viewports,See layout viewports.
font,"A character set made up of letters, numbers, punctuation marks, and symbols of a distinctive proportion and design."
footcandle,The American unit of illuminance (symbol: fc). Lm/ft�.
frame,"An individual, static image in an animated sequence."
freeze,"A setting that suppresses the display of objects on selected layers; objects on frozen layers are not displayed, regenerated, or plotted. (LAYER)"
front faces,Outward-facing sides of 3D faces.
G0 G1 G2 continuity,See continuity.
general properties,"Properties common between a selection of objects, including color, layer, linetype, linetype scale, plot style, lineweight, transparency, hyperlink, and thickness."
generic surface,"A 3D surface object with no control vertices, history, or analytic information; cannot be associative."
geographic coordinate system,"In the geolocation feature, a reference system that uses a three-dimensional spherical surface to determine locations on the earth."
geographic elevation,The relative height along the specified up-direction defined for a geographic marker.
geographic marker,"In the geolocation feature, an annotation that marks a location of known latitude and longitude in model space."
geo marker,See geographic marker.
geometric constraint,"Rules that define the geometric relationships of objects or points on objects, controlling how an object can change shape, size, or location."
geometry,"All graphical objects such as lines, circles, arcs, polylines, and dimensions."
gesture,"Predefined motions such as swiping, pinching, or sliding that perform an action such as panning or zooming an object."
gizmo,"A tool that permits you to manipulate a 3D object uniformly or along a specified axis or plane, displayed when you select a 3D object."
global illumination,An indirect illumination technique that allows for effects such as color bleeding by simulating photon bounce between objects.
Gooch shading,A type of shading that uses a transition from cool to warm colors rather than from dark to light.
graphics area,See drawing area.
grid,An area covered with regularly spaced dots or lines to aid drawing; the grid is never plotted. (GRID)
grid limits,"The user-defined rectangular boundary of the drawing area covered by dots when the grid is turned on, also called drawing limits. (LIMITS)"
grip menu options,See multi-functional grip menu options.
grip modes,"The editing options accessible from selected grips on selected objects: stretching, moving, rotating, scaling, and mirroring."
grips,"Small squares and triangles that appear on objects you select; after selecting a grip, you can edit the object by clicking or right-clicking instead of entering commands."
grip tool,"An icon used in a 3D view to constrain the movement or rotation of a selection set to an axis or plane. (3DMOVE, 3DROTATE)"
ground plane,"The XY plane of the user coordinate system when perspective projection is turned on, displaying with a color gradient between the ground horizon and ground origin."
guide curves,Lines or curves that intersect each cross section of a lofted solid or surface and define the form by adding wireframe information. (LOFT)
HDI,For Heidi Device Interface. An interface for developing peripheral device drivers for Autodesk products on Windows.
helix,An open 2D or 3D spiral. (HELIX)
HLS,"A system of defining color by specifying the values for hue, saturation, and luminance."
Home view,"A view saved with the drawing and controlled with the ViewCube tool, similar to the default view presented when a drawing is first opened."
horizontal landing,An optional line segment connecting the tail of a leader line with the leader content.
hot grip,A selected grip.
i-drop,A method by which a drawing file can be dragged from a Web page and inserted into another drawing.
IGES,For Initial Graphics Exchange Specification. A standard format for digital representation and exchange of information between CAD/CAM systems.
Illuminance,"In photometry, the total luminous flux incident on a surface per unit area."
indirect bump scale,Scales the effect of the base material's bump mapping in areas lit by indirect light.
indirect illumination,Illumination techniques such as global illumination and final gathering that enhance realism by simulating the interreflection of light between objects.
initial environment,The variables and settings for new drawings as defined by the default drawing template file.
input property,"In a dynamic block definition, a parameter property that can be added as a column to a lookup table."
intensity,"In reality capture, the reflectance of each point from laser return. In rendering, specifies the brightness of a light measured in candelas (cd)."
interpolation points,Defining points that a B-spline passes through.
island,"An enclosed area within another enclosed area, detected as part of creating hatches, polylines, and regions. (BHATCH, BOUNDARY)"
isolines,Display lines that appear on the curved surfaces of 3D solids with several visual styles including wireframe.
isometric snap style,"A drafting option that aligns the cursor with two of three isometric axes and displays a grid, making 2D isometric drawings easier to create."
isoparm,"Lines of constant U or V values that run along a NURBS surface, showing the shape of the surface as defined by control vertices."
key point,"In a dynamic block definition, the point on a parameter that drives its associated action when edited in the block reference."
KML or keyhole mapping language,"In the reality capture feature, an XML grammar and file format for modeling and storing geographic features for display in Google Earth and similar applications."
KMZ,"In the reality capture feature, a compressed version of a KML file."
knot parameterization,"A setting that affects the shape of a fit point spline, determining how component curves between successive fit points are blended. (SPLKNOTS system variable)"
label block,"A block used to label views and details, containing data such as title, view number, and scale associated with the referenced view."
landing,The portion of a leader object that acts as a pointer to the object being called out; can be a straight line or a spline curve.
landing gap,An optional space between a leader tail and the leader content.
layer,A logical grouping of data like transparent acetate overlays on a drawing. (LAYER)
layer index,"A list showing the objects on each layer, used to locate what portion of the drawing is read when partially opening a drawing."
layer translation mappings,"Assignments of a set of layers to another set of layers that defines standards, including layer names and layer properties."
layout,The 2D environment in which you create layout viewports and place title blocks for plotting.
layout viewports,Objects created in paper space that display views. (VPORTS)
leader tail,The portion of a leader line that is connected to the annotation.
